task_id,entropy
0,0.5392697791510224
1,0.6739135134475103
2,0.2440136168147593
3,0.694024094944907
4,0.3829063397253347
5,0.6425117019107393
6,0.5317862663510811
7,0.4529185991532063
8,0.29050480540163154
9,0.2175604533846436
10,0.4992255185338148
11,0.2721399593683945
12,0.587353354078162
13,0.9741983714187358
14,0.28868449501096216
15,0.7684179266590598
16,0.10306265066602643
17,0.45258790166536156
18,0.22168965927224935
19,0.5866321706681625
20,0.143871037046897
21,0.9513825819848277
22,0.6148041875750468
23,0.26764465500714557
24,0.10392704570872896
25,0.8312918320013655
26,0.24466338193256165
27,0.8748983444913173
28,0.7768039724901773
29,0.8087143882710298
30,0.4786891398559
31,0.41252252769443787
32,0.8516627200369007
33,0.49557233112979127
34,0.10546569155619734
35,0.5377359714282527
36,0.7394472715086658
37,0.7450999374656221
38,0.9850699437023381
39,0.6860607297530962
40,0.8931724037989232
41,0.7306918096871027
42,0.7459838828926113
43,0.32005299788894764
44,0.8091808942664357
45,0.6796332235151363
46,0.4987286017380089
47,0.14948202671163324
48,0.2374702475207856
49,0.8154943200359348
50,0.8028459829440098
51,0.6848106754092375
52,0.7598870586531451
53,0.5585374595483001
54,0.23355220871733776
55,0.30609490071989903
56,0.6715628069411601
57,0.5027120311184139
58,0.5395898772696865
59,0.46450466160405424
60,0.7285220399755581
61,0.7003251074125136
62,0.43382307656294417
63,0.8403248754237641
64,0.7451379327581854
65,0.7161209033409566
66,0.34520499728472587
67,0.4432032628900737
68,0.747361839563408
69,0.3929853624339028
70,0.6177818594053609
71,0.3434654031684695
72,0.8720773944529214
73,0.6386904344659399
74,0.772383812891019
75,0.547482724305823
76,0.9607612333350741
77,0.7472112311853666
78,0.2567333319240884
79,0.194732576851594
80,0.3157319592469233
81,0.7614611484816116
82,0.48323260687684233
83,0.8512977794269346
84,0.7849836661178107
85,0.5276903070161765
86,0.4011351572852383
87,0.29234508041971996
88,0.8645232298074232
89,0.14435251446371983
90,0.9465143218685872
91,0.8172436845195516
92,0.5006313309573333
93,0.31182877254112
94,0.4110913185064403
95,0.9482118344658536
96,0.8686670679312006
97,0.21801152264784804
98,0.4899291994382765
99,0.5448354300285905
100,0.16837715722084456
101,0.5274904537397626
102,0.5625030652602221
103,0.6506748233625123
104,0.5620547407968107
105,0.23465390794436963
106,0.5019147015296456
107,0.41833316309029756
108,0.7815179478119945
109,0.27144772098759595
110,0.3774677285117821
111,0.18081432109361856
112,0.973505234219319
113,0.546977155996243
114,0.4178474250366112
115,0.18209771978957773
